Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt8633062,8,2020-12-28,"The Wilds","The Wilds",https://www.imdb.com/title/tt8633062,Serie de TV,7.3,60,2020,"Drama, Aventura, Misterio",27371,"2020-12-11",
tt0451279,8,2020-12-19,"Mujer Maravilla","Wonder Woman",https://www.imdb.com/title/tt0451279,Película,7.3,141,2017,"Acción, Aventura, Fantasía, Ciencia ficción, Guerra",735960,"2017-06-01","Patty Jenkins"
tt2911666,8,2020-11-07,"Otro día para matar","John Wick",https://www.imdb.com/title/tt2911666,Película,7.5,101,2014,"Acción, Suspenso, Crimen",829189,"2014-10-30","Chad Stahelski"
tt4566758,7,2020-10-19,"Mulán","Mulan",https://www.imdb.com/title/tt4566758,Película,5.8,115,2020,"Aventura, Drama, Acción, Fantasía",167847,"2020-12-04","Niki Caro"
tt4331970,9,2020-09-24,"Quand on a 17 ans","Quand on a 17 ans",https://www.imdb.com/title/tt4331970,Película,7.2,114,2016,"Drama, Romance",7851,"2016-03-30","André Téchiné"
tt8134186,9,2020-09-18,"Devs","Devs",https://www.imdb.com/title/tt8134186,Miniserie de TV,7.6,51,2020,"Suspenso, Ciencia ficción, Drama, Misterio",57743,"2020-03-05",
tt9148706,7,2020-08-30,"Misbehaviour","Misbehaviour",https://www.imdb.com/title/tt9148706,Película,6.4,106,2020,"Drama, Historia, Comedia",11795,"2020-03-13","Philippa Lowthorpe"
tt6751668,10,2020-08-30,"Parásitos","Gisaengchung",https://www.imdb.com/title/tt6751668,Película,8.5,132,2019,"Drama, Suspenso",1166760,"2019-12-25","Bong Joon Ho"
tt8946378,8,2020-08-30,"Entre navajas y secretos","Knives Out",https://www.imdb.com/title/tt8946378,Película,7.9,130,2019,"Crimen, Misterio, Suspenso, Drama, Comedia",878937,"2019-12-06","Rian Johnson"
tt7286456,9,2020-08-30,"Guasón","Joker",https://www.imdb.com/title/tt7286456,Película,8.3,122,2019,"Drama",1696540,"2019-10-04","Todd Phillips"
tt6723592,9,2020-08-30,"Tenet","Tenet",https://www.imdb.com/title/tt6723592,Película,7.3,150,2020,"Acción, Ciencia ficción, Suspenso",687148,"2020-09-16","Christopher Nolan"
tt9849210,8,2020-08-22,"Biohackers","Biohackers",https://www.imdb.com/title/tt9849210,Serie de TV,6.8,44,2020,"Drama, Ciencia ficción, Suspenso",12561,"2020-08-20",
tt0399201,8,2020-08-18,"La isla","The Island",https://www.imdb.com/title/tt0399201,Película,6.8,136,2005,"Ciencia ficción, Suspenso, Acción",342495,"2005-08-12","Michael Bay"
tt0422272,7,2020-08-16,"Frágiles","Frágiles",https://www.imdb.com/title/tt0422272,Película,6.0,101,2005,"Suspenso, Terror, Misterio",18427,"2008-02-22","Jaume Balagueró"
tt9059760,10,2020-08-03,"Normal People","Normal People",https://www.imdb.com/title/tt9059760,Miniserie de TV,8.4,28,2020,"Drama, Romance",116169,"2020-07-16",
tt7556122,8,2020-07-24,"La vieja guardia","The Old Guard",https://www.imdb.com/title/tt7556122,Película,6.7,125,2020,"Acción, Suspenso",210686,"2020-07-10","Gina Prince-Bythewood"
tt6394270,8,2020-07-19,"El escándalo","Bombshell",https://www.imdb.com/title/tt6394270,Película,6.8,109,2019,"Biografía, Drama",136254,"2020-01-31","Jay Roach"
tt5827916,9,2020-06-30,"Una vida oculta","A Hidden Life",https://www.imdb.com/title/tt5827916,Película,7.4,174,2019,"Biografía, Drama, Guerra, Romance",32227,"2020-03-20","Terrence Malick"
tt3612126,2,2020-06-30,"La maldición renace","The Grudge",https://www.imdb.com/title/tt3612126,Película,4.4,94,2019,"Terror, Fantasía",32382,"2020-02-14","Nicolas Pesce"
tt9173418,1,2020-06-30,"Brahms: The Boy II","Brahms: The Boy II",https://www.imdb.com/title/tt9173418,Película,4.7,86,2020,"Terror, Misterio, Suspenso, Drama",22604,"2020-04-10","William Brent Bell"
tt0983946,2,2020-06-30,"La isla de la fantasía","Fantasy Island",https://www.imdb.com/title/tt0983946,Película,4.9,109,2020,"Terror, Misterio, Fantasía",63842,"2020-08-27","Jeff Wadlow"
tt3794354,4,2020-06-30,"Sonic: la película","Sonic the Hedgehog",https://www.imdb.com/title/tt3794354,Película,6.5,99,2020,"Acción, Aventura, Ciencia ficción, Comedia, Familia, Fantasía",193224,"2020-02-14","Jeff Fowler"
tt8244784,8,2020-06-30,"La cacería","The Hunt",https://www.imdb.com/title/tt8244784,Película,6.6,90,2020,"Acción, Terror, Suspenso",154435,"2020-04-09","Craig Zobel"
tt1634106,2,2020-06-30,"Bloodshot","Bloodshot",https://www.imdb.com/title/tt1634106,Película,5.7,109,2020,"Acción, Aventura, Ciencia ficción",91232,"2020-03-13","Dave Wilson"
tt7146812,9,2020-06-30,"Unidos","Onward",https://www.imdb.com/title/tt7146812,Película,7.4,102,2020,"Animación, Comedia, Familia, Fantasía, Aventura, Drama",186500,"2020-03-06","Dan Scanlon"
tt8089592,10,2020-06-13,"Pequeños fuegos por todas partes","Little Fires Everywhere",https://www.imdb.com/title/tt8089592,Miniserie de TV,7.6,58,2020,"Drama, Misterio, Suspenso",61686,"2020-05-22",
tt9086228,5,2020-06-13,"Gretel & Hansel","Gretel & Hansel",https://www.imdb.com/title/tt9086228,Película,5.6,87,2020,"Fantasía, Terror, Suspenso, Misterio",39307,"2020-01-31","Osgood Perkins"
tt5774060,7,2020-06-13,"Amenaza en lo profundo","Underwater",https://www.imdb.com/title/tt5774060,Película,5.9,95,2020,"Acción, Suspenso, Terror, Ciencia ficción, Aventura",108531,"2020-01-10","William Eubank"
tt1051906,10,2020-06-13,"El hombre invisible","The Invisible Man",https://www.imdb.com/title/tt1051906,Película,7.1,124,2020,"Ciencia ficción, Suspenso, Terror, Misterio, Drama",285589,"2020-02-28","Leigh Whannell"
tt6803046,10,2020-06-05,"The Vast of Night","The Vast of Night",https://www.imdb.com/title/tt6803046,Película,6.7,91,2019,"Misterio, Ciencia ficción, Suspenso, Drama",50213,"2020-05-29","Andrew Patterson"
tt7347846,8,2020-05-25,"La cabaña siniestra","The Lodge",https://www.imdb.com/title/tt7347846,Película,6.0,108,2019,"Suspenso, Drama, Terror, Misterio",65041,"2020-01-16","Severin Fiala,Veronika Franz"
tt9827854,9,2020-05-15,"Hollywood","Hollywood",https://www.imdb.com/title/tt9827854,Miniserie de TV,7.5,50,2020,"Drama, Comedia",43956,"2020-05-01",
